S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.21,1.78,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000347172
0.20,1.81,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000346195
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.77,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000347172
0.21,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.78,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000347172
0.21,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.21,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.79,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.20,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.30,1.10,1.50,0.25,0.00,0.00,0.01731,0.00284,0.00071,0.00000,0.005214328
3.80,1.10,1.50,0.25,0.00,0.00,0.03943,0.04897,0.00102,0.00000,0.022352595
0.30,4.60,1.50,0.25,0.00,0.00,0.02380,0.04017,0.00231,0.00000,0.016573087
0.30,1.10,5.00,0.25,0.00,0.00,0.07485,0.15373,0.01467,0.00000,0.060811688
0.00,-0.00,0.00,0.25,0.00,0.00,0.59077,1.13670,0.03648,0.00000,0.440985503
0.00,0.25,0.00,0.25,0.00,0.00,0.59077,1.13670,0.03648,0.00000,0.440985503
0.29,1.97,1.47,0.25,0.00,0.00,0.00330,0.00471,0.00006,0.00000,0.002018975
1.17,1.98,1.45,0.25,0.00,0.00,0.01010,0.00377,0.00009,0.00000,0.003490945
0.30,1.99,1.91,0.25,0.00,0.00,0.00247,0.00320,0.00008,0.00000,0.001436405
-0.00,2.50,2.55,0.25,0.00,0.00,0.00142,0.00360,0.00072,0.00000,0.001436147
-0.00,2.11,2.76,0.25,0.00,0.00,0.36390,0.68726,0.06427,0.00000,0.278859438
0.20,2.54,2.62,0.25,0.00,0.00,0.00167,0.00596,0.00094,0.00000,0.002142320
0.04,2.50,2.12,0.25,0.00,0.00,0.00354,0.00204,0.00031,0.00000,0.001474888
-0.00,2.50,2.33,0.25,0.00,0.00,0.00237,0.00100,0.00049,0.00000,0.000964203
