S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.09,0.93,1.79,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467553
0.10,0.94,1.67,0.25,0.00,0.00,0.23041,0.14500,0.00000,0.00000,0.093853595
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.93,1.79,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467553
0.09,0.94,1.71,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853293
0.09,0.93,1.76,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467760
0.09,0.94,1.72,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853293
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.73,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.94,1.73,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.93,1.76,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467760
0.09,0.94,1.73,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.74,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.94,1.74,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.93,1.75,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467760
0.09,0.94,1.74,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.74,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.94,1.74,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853120
0.09,0.93,1.75,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467760
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
